ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
749,Salerno, Mus. Prov.,Ht. 23, ,PLATE 139c ,"though its proximity to the Asteas Group was noted. Eros seated to 1. by altar, holding fillet in both hands; to 1. duck. Skyphoi "
750,Leiden,22781,Ht. 16, , ,"(a) Draped woman, holding wreath in r., mirror in 1., (a) nude youth bending forward over raised r. foot; white fillet top r. Found with the olpe 22449 and the squat lekythos 22443 (nos. 15-16 above); cf. with "
751,Rome,436. ,Ht. 25, , ,
752,Once Rome, Municipal Museum L.206.77. ,Ht. 24, , ,"(a) Draped woman to 1. with fillet, (6) draped woman to 1. with leafy wreath and fillet. Dot-stripe drapery; palmettes as on 48456. (ii) With detached side-scrolls "
753,Once Nostell Priory,21535,Ht. 21, , ,Oenochoe (shape 3) 
754,Paestum,(fragment),Ht. 23, , ,"Seated half-draped woman to r., with phiale and wreath in 1. hand, wreath in r. Altar to 1., flower to r., as on 48456. (b) As on nos. 20 and 21 above Lebes gamikos "
755,Paestum,1488. ,Ht. 25, , ,"NSc 1968, p. 200, fig. 5. (a) Standing draped woman, holding wreath in r. hand, mirror and fillet in 1., [b) seated woman, enveloped in cloak, holding phiale. "
756,Paestum, Charles Ede Ltd. ,Ht. 21, ,PLATE 139/ ,Bell-krater 
757,Paestum, from C. Spina,Ht. 22, , ,"(a) Female head, (a) bird. (iii) Connected in style (a) Lebetes gamikoi "
758,Rheinbach, Barakat Gallery PF 292. ,Ht. 23, , ,"(a) Youthful winged male figure, holding caduceus in 1. hand and bird in outstretched r., facing seated draped woman with box on lap and mirror in r., (a) Eros seated on Ionic capital, holding phiale in 1. hand and spray in r. Bowl of lid: female heads to r., with beaded sphendonai. "
759,Paestum, Mus. Prov.,Ht. 18, , ,
760,Jena,138. ,Ht. 14, , ,
761,Naples, Museo Pigorini 93639,Ht. 16, , ,"[a) Nude youth with torch, (a) draped youth with stick. Pelike "
762,Naples,Market. ,Ht. 12, , ,"(a) Draped woman, enveloped in cloak with dot-stripe border, holding cista and fillet in r. hand, (a) draped woman with plain black stripe down drapery, with box in r. hand and cista in 1. "
763,Once Zurich Market, Sale Cat. no. 31 c,Ht. 16, , ,(b) Vases decorated with female heads Hydria 
764,Canberra, from Agropoli (1967),Ht. 16, , ,"Kat. Hbg., p. 382. no. 330 (ill.). Female head in profile to 1.; to r., laurel-branch. Cf. with no. 863, which is similar, but later. Skyphos "
765,Madrid,21191,Ht. 19, , ,"(a) and (a) Female head. (iv) The Black and White Stripe Group Nos.  102, 104 and 107 might also be placed in this division as they all show a woman wearing the typical black and white striped drapery. The dot-stripe bordered "
766,Madrid,22257,Ht. 25, , ,
767,Berlin,31714,Ht. 19, ,PLATE 150 a ,
768,Paestum, E. Koch coll. , , , ,"recurs on nos. 114-6, 118-9 and 122 (cf. also nos. 99, 101-2, 104, 107). Neck-amphorare "
769,Haverford,31975,Ht. 34, , ,"(a) Standing draped woman with mirror and fillet in 1. hand, (a) standing draped woman, enveloped in cloak, with cista and fillet in r. hand, mirror in 1. "
770,Paestum,257 (431). ,Ht. 27, , ,"PP, no. 225, fig. 35; PPSupp, no. 312. (a) Draped woman, with cista and wreath in r. hand, mirror in 1., running to r. and looking to 1., (a) Eros moving to 1., and looking r., holding fillet in both hands. Pelike "
771,Louvre, private coll. (2) 4,Ht. 25, ,PLATE 140c ,
772,Once Los Angeles Market, private coll. (2) 4,Ht. 18, , ,"(a) Woman with cista and mirror, running to r. and looking back 1., (6) seated nude woman with mirror and cista. Hydriai "
773,Rheinbach, Arete. ,Ht. 23, , ,"PPSupp, no. 222; Patroni, VP, fig. 37. Draped woman running to 1. and looking back to r., with mirror in 1. hand and phiale in r. "
774,Pontecagnano, A.N.U. 65.18. ,Ht. 18, , ,"Draped woman standing by stele, with cista and fillet in 1. hand and mirror and fillet in r. "
775,Paestum,11489. ,Ht. 20, , ,"PPSupp, no. 232. Draped woman running to 1. and looking back r.; phiale and fillet in r. hand, mirror and fillet in 1. Beside the handles: laurel-branch. "
776,Louvre,11491 (L. 488). ,Ht. 17, , ,"PPSupp, no. 233; Schauenburg, RM  92, 1985, p. 62, pi. 47, 4-5. Nude youth with wreath and staff, draped woman with egg in 1. hand; between them, small palmette. Below the handles: owls. EARLY VASES  83 Lebes gamikos "
777,Once London Market,3069. ,Ht. 19, , ,"(a) Woman, with cista and fillet in r. hand, phiale and fillet in 1., moving to r. and looking back to 1., (a) nude youth, with cista and wreath in r. hand, drapery over 1. arm. moving to r. and looking back to 1. Squat lekythoi "
778,Paestum,21141,Ht. 19, , ,"Woman, with tambourine, moving to r. and looking back 1. Found with 21452-3 (nos. 576 and 524 in Chapter IX). "
779,Tatefield Hail, Haverford College 6. Top of handle broken,Ht. 21, , ,"Draped woman, with fillet and cista, moving to 1. and looking back r. "
780,Paestum,21232,Ht. 19, , ,"PPSupp, no. 274; Marzullo, Tombe dipinte, p. 14, no. 2; Patroni, VP, figs. 18-19. "
781,Paestum,1592 (ED 861). , , , ,"Since the publication of PP, when six vases signed by Asteas were known, five more "
782,Paestum, Superior Stamp and Coin Co. ,Ht. 18, , ,"Buccino); the other three are of uncertain provenience and have found their way to America via the international market, though there is a strong probability that at "
783,Madrid, C. Koch coll. ,Ht. 20, , ,"of signed vases to eleven and thus enables us to get a much better picture of the stylistic development of Paestum's most important vase-painter and to associate with him a greater number of vases than was previously possible. All the vases are signed 'AacrTeaS eypo^e; the signature, normally incised (nos. 127, 129 and 134-5) or painted in added white (nos. 125-6, 130, 132-3), and once in diluted black glaze (no. 128), varies in its location on the vase; it usually appears on "
784,Paestum,26416,Ht. 17, , ,"list of the signed vases is given below, but, in view of their special significance, a more detailed discussion of each of them (except no. 131) follows. Calyx-kraters "
785,Paestum,21208,Ht. 16, , ,"PP, no. 31, pi. 5a and fig. 11; PPSupp, no. 37; PhV2, p. 50, no. 76 (with bibliography to date); IGD, p. 131, IV, 14; LAF, no. 173 (ill.); Fuhrer (1968), p. 110, pi. 96; Kahane, Ancient and Classical Art, p. 160 (colour); Hist. Hell. Eth. Ill, 2, p. 418 (colour); Robertson, Hist., pi. 154c; id., Shorter Hist., p. 155, fig. 211; Werner, Life in ancient Greece, p. 133 (colour detail); Aufstieg und Niedergang der rom. Welts 4,2, p. 227, fig. 12; Simon, Ancient Theatre, fig. 14; Briimmer, Jdl 100, 1985, p. 62, fig. 19 a""; Albini, // teatro greco, ill. on p. 51. (a) Phlyax scene—robbing the miser, with two female masks suspended above, (a) Dionysos, with phiale and thyrsus, running to 1., followed by satyr with egg and torch. The reverse is in bad condition, with much of the detail lost. The four phlyakes on the obverse are inscribed respectively Gymnilos, Charinos, Kosilos and Karion; the signature is inscribed in white above the middle of the picture on the obverse, just below the band of ivy. "
786,Paestum,350. ,Ht. 16, , ,
787,Tatefield Hall, Sotheby,Ht. 20, , ,"fig. 381. (a) Phrixos and Helle on the ram, (a) Dionysiac scene—below: Dionysos between a maenad and a bearded silen; above: busts of three maenads and a young satyr. The surface is in very bad condition; most of the inscriptions on the obverse are hardly "
788,Pontecagnano,21233, , , ,band immediately above the handle-zone on the obverse. 
789,Once Freiburg Market,(near Harrogate),Ht. 28, , ,
790,Geneva,4957,Ht. 16, , ,"fig. 939 (detail); Grece Classique, fig. 372; Robertson, History, pi. 139 a, id., Shorter Hist., p. 155, fig. 210; LIMC  I, Alkmene 18, pi. 416,1; Olmos, Ceramica griega, p. 87, fig. 42 (colour); Kenner, Theater und Realismus, p. 15, fig. 28; Megale Hellas, fig. 639 (colour; but printed in reverse); Gogos, Ojh 54, 1983, pp. 59-60, figs. 1 a-b; detail, Briimmer, Jdl 100, 1985, p. 110, fig. 30 a. (a) Madness of Herakles, (a) Dionysiac scene—Dionysos riding on a panther between a maenad and a silen; above—busts of three maenads and a silen. On the obverse the figures of Herakles, Megara, Mania, Iolaos and Alkmene have their names inscribed above them; the signature appears on a narrow band below the picture. "
791,Zurich,21556,Ht. 22, , ,
792,Paestum,5658,Ht. 20, , ,
793,Naples,11395. ,Ht. 20, , ,
794,Madrid,4956,Ht. 21, , ,"(a) Telephos on the altar, holding the young Orestes, between Agamemnon  and Clytemnestra; above, Calchas, Apollo, Hermes and woman (inscribed GPIZA), (a) Dionysiac scene—below: Dionysos bending forward to 1., between bearded silen and maenad; above: busts of youth, woman, maenad with thyrsus, silen. The identifying inscriptions in added white have now largely disappeared; the signature is painted in black glaze on the first step of the three-stepped base of the altar. "
795,Pontecagnano,21427, , , ,
796,Paestum,5429,Ht. 24, , ,"Papers on Antiquities, 1, 1983), pp. 139-48, figs. 1—4; Eva Zahn, Europa und der Stier, p. 122, no. 66. (a) Europa on the bull, flying over the sea, represented by Scylla, Triton and fish, with Pothos flying above; in the angles above—to 1., Zeus, Krete and Hermes; to r., Eros, Adonis and Aphrodite (all the figures except Eros are inscribed), (a) Dionysiac scene—below: Dionysos between maenad and silen, all moving to r.; above: busts of two maenads, papposilen, maenad and Pan. Foot: two horses pursued by two griffins. The signature, here incised, appears at the top of the band of decoration in added white on the zone between the handles on the obverse. "
797,Gela, Kent coll. 702. ,Ht. 26, , ,
798,Paestum,36115,Ht. 20, , ,"PLATE 54 a PP, no. 32, pi. 6a and fig. 13; PPSupp, no. 38; PhV2, pp. 54-5, no. 86 (with bibliography to date); IGD, p. 139, IV, 30; Mingazzini, Greek Pottery and Painting, fig. 16; LIMC  I, Ajax II 107, pi. 270,3; Megale Hellas, fig. 631 (colour). (a) Phlyax scene—the Rape of Ajax, (a) Dionysiac scene—almost entirely lost, except for part of an old silen. Cassandra and the priestess are inscribed in added white; the signature in added white is inscribed above the middle of the picture on the obverse, just below the ivy border (as on no. 125). "
799,Paestum, Puhze. ,Ht. 10, ,PLATE 140/ ,
800,Okayama,244. ,Ht. 16, ,PLATE 141 a ,"Dr. Johannowsky has kindly informed me that the fragments, referred to by Marcello "
801,Paestum, University 3934. ,Ht. 17, , ,"a squat lekythos [StEtr 52, 1984, p. 497). The signature AZ... Al ErPACPEN is inscribed on the base of a column or stele. To left is a male figure in a himation, to right two women, one "
802,Paestum,21581,Ht. 18, , ,cannot be determined. No further details are at present available. Bell-krater 
803,Paestum,124283,Ht. 16, , ,"PP, no. 37, pi. 5 a and fig. 5; PPSupp, no. 41; Ant. Surv. III. 2, 1982, p. 344, fig. 20; Stella, "
804,Paestum,11282 (L. 508). ,Ht. 18, , ,"Kerenyi, Heroes of the Greeks, pi. 1 (opp. p. 40). (a) Cadmus and the dragon, (a) Dionysiac scene—below: Dionysos, with wreath and thyrsus, between maenad and bearded silen; above: busts of papposilen and two maenads. The reverse has been extensively restored. All the figures on the obverse (Athena, Cadmus, Krenaia, Thebe, and Ismenos) are inscribed in added white; the signature is below the band of ivy above the centre of the picture (as on nos. 125 and 130). Neck-amphora (with twisted handles) "
805,Paestum,36477,Ht. 18, , ,
806,Paestum,4943, , , ,"p. 832, Erinys51, pi. 599. 6. "
807,Paestum,9183 (fr.) from Monte Saraceno. ,Ht. 21, ,PLATE 141 b ,"Hermes, two Furies and silen, (a) nude youth between two draped women; above—busts of two women. Neck: (a) siren, (a) female head to 1. Shoulder: (a) bird, nude youth with 1. foot on rock-pile bending forward, seated draped woman looking back at him, Eros and seated draped woman, (a) laurel-wreath. The figures on the obverse were inscribed in added white (now mostly disappeared); the signature (AIZ  PA<t>.) appears on the base in front of the column. Hydria "
808,Paestum,21526,Ht. 20, , ,"Bottini and Greco, Dial, di Arch. 8/2, 1974-5, pp. 250 ff., fig. L, and figs. 15-18; Arch.Reps. 1969-70, p. 37, fig. 7; Atti VII"" CStMG  1967, pi. 8; IGD, p. 102, III. 3, 44; Moscati, It.Arch. i, "
809,Paestum,7448,Ht. 18, , ,
810,Salerno,77. ,Ht. 17, , ,"bird, Rota and Fiammenghi, p. 93; Schauenburg, RM  92, 1985, p. 63, pi. 53; LIMC  III, p. 836, Erinys88, pi. 603, 1. Proitos handing the letter to Bellerophon in the presence of Stheneboia and her "
811,Once New York Market,22661,Ht. 11, , ,"and a second Fury (whose name has now disappeared). Shoulder: seated woman, wearning black chiton and holding phiale and mirror, between Eros and a nude youth bending forward. Beneath the side-handles: bird with outspread wings perched on a spotted rock. All the figures on the obverse were originally inscribed in added white; the signature A... A. Er... appears between Bellerophon and Proitos towards the bottom of the picture. Squat lekythos "
812,Cambridge,7428,Ht. 10, , ,
813,Once Stuttgart Market,379IB (fr. of cup),Ht. 13, , ,"Devoto, Gli antichi Italici, fig. 19; Gogos, OJh 55, 1984, p. 35, fig. 6 (detail). Herakles in the garden of the Hesperides—below: Aiopis, Antheia, Kalypso feeding the serpent entwined round the apple-tree, MPMHZA, Herakles, Nelisa; above: busts of Pan, TAPA, Hermes, AONAKI2. The inscription  ZSTEPIAZ appears by the tree. The signature appears beneath the central flower of the laurel-wreath on the shoulder. "
